"","year","simulated","measured"
"1",1907,3364,3545
"2",1909,3297,2448
"3",1911,2004,1750
"4",1913,1877,2166
"5",1915,2939,3634
"6",1917,2849,3590
"7",1919,1886,2284
"8",1921,2992,2270
"9",1923,2284,1276
"10",1927,1917,2181
"11",1929,3266,1750
"12",1931,2671,2485
"13",1933,2651,616
"14",1935,3355,3857
"15",1937,4494,3263
"16",1939,4389,2299
"17",1941,2092,2373
"18",1943,1791,1943
"19",1945,2669,3397
"20",1947,2828,1691
"21",1949,1715,2381
"22",1951,1716,2366
"23",1953,4419,2900
"24",1955,10683,7157
"25",1957,10109,9271
"26",1959,8761,6742
"27",1961,10593,8485
"28",1963,10708,10183
"29",1965,10581,11637
"30",1967,10786,10467
"31",1969,11759,10443
"32",1971,12828,9939
"33",1973,9703,11496
"34",1975,12752,12245
"35",1977,10484,10814
"36",1979,10178,10332
"37",1981,12290,12319
"38",1983,11916,9093
"39",1985,12564,13805
"40",1987,11373,13648
"41",1989,10930,13888
"42",1991,10814,10120
"43",1993,10723,13889
"44",1995,10579,8641
"45",1997,9917,14151
"46",1999,13669,15701
"47",2001,12316,13417
"48",2003,13548,15294
"49",2005,12339,13475
