index,uniqueid,plotid,year,corn_grain_yield_kg,Corn grain moisture,Soybean grain moisture,Wheat grain yield at 13.5% MB,Wheat grain moisture,grain_yield_Mg,lon_lat,Plotid,observed
92,NWREC,4041.0,2011,15203.0,206,M,M,M,15.203,"(-90.7272222, 40.9305556)",4041,15203.0
93,NWREC,4041.0,2014,15247.0,223,M,M,M,15.247,"(-90.7272222, 40.9305556)",4041,15247.0
94,NWREC,4042.0,2011,12093.0,217,M,M,M,12.093,"(-90.7272222, 40.9305556)",4042,12093.0
95,NWREC,4042.0,2014,13642.0,273,M,M,M,13.642,"(-90.7272222, 40.9305556)",4042,13642.0
96,NWREC,4051.0,2014,13665.0,266,M,M,M,13.665,"(-90.7272222, 40.9305556)",4051,13665.0
97,NWREC,4051.0,2012,14790.0,180,M,M,M,14.79,"(-90.7272222, 40.9305556)",4051,14790.0
98,NWREC,4052.0,2012,13655.0,159,M,M,M,13.655,"(-90.7272222, 40.9305556)",4052,13655.0
99,NWREC,4052.0,2014,15083.0,219,M,M,M,15.083,"(-90.7272222, 40.9305556)",4052,15083.0
100,NWREC,4061.0,2013,9222.0,163,M,M,M,9.222,"(-90.7272222, 40.9305556)",4061,9222.0
101,NWREC,4061.0,2012,9743.0,149,M,M,M,9.743,"(-90.7272222, 40.9305556)",4061,9743.0
102,NWREC,4061.0,2011,10861.0,195,M,M,M,10.861,"(-90.7272222, 40.9305556)",4061,10861.0
103,NWREC,4061.0,2014,15186.0,226,M,M,M,15.186,"(-90.7272222, 40.9305556)",4061,15186.0
104,NWREC,4061.0,2015,15319.0,220,M,M,M,15.319,"(-90.7272222, 40.9305556)",4061,15319.0
105,NWREC,4062.0,2013,5725.0,212,M,M,M,5.725,"(-90.7272222, 40.9305556)",4062,5725.0
106,NWREC,4062.0,2012,7245.0,170,M,M,M,7.245,"(-90.7272222, 40.9305556)",4062,7245.0
107,NWREC,4062.0,2011,10016.0,211,M,M,M,10.016,"(-90.7272222, 40.9305556)",4062,10016.0
108,NWREC,4062.0,2014,13929.0,294,M,M,M,13.929,"(-90.7272222, 40.9305556)",4062,13929.0
109,NWREC,4062.0,2015,15376.0,246,M,M,M,15.376,"(-90.7272222, 40.9305556)",4062,15376.0
110,NWREC,4081.0,2013,13649.0,231,M,M,M,13.649,"(-90.7272222, 40.9305556)",4081,13649.0
111,NWREC,4082.0,2013,14018.0,211,M,M,M,14.018,"(-90.7272222, 40.9305556)",4082,14018.0
112,NWREC,4091.0,2013,12204.0,245,M,M,M,12.204,"(-90.7272222, 40.9305556)",4091,12204.0
113,NWREC,4091.0,2011,13474.0,203,M,M,M,13.474,"(-90.7272222, 40.9305556)",4091,13474.0
114,NWREC,4091.0,2015,14942.0,242,M,M,M,14.942,"(-90.7272222, 40.9305556)",4091,14942.0
115,NWREC,4092.0,2011,12714.0,200,M,M,M,12.714,"(-90.7272222, 40.9305556)",4092,12714.0
116,NWREC,4092.0,2013,13829.0,199,M,M,M,13.829,"(-90.7272222, 40.9305556)",4092,13829.0
117,NWREC,4092.0,2015,15360.0,223,M,M,M,15.36,"(-90.7272222, 40.9305556)",4092,15360.0
