uniqueid,plotid,Soil sampling depth,subsample,year,sampledate,Bulk density,Water retention at 0 bar,Soil texture name,Soil pH,Cation exchange capacity (CEC),Soil organic carbon (SOC),Total nitrogen (TN),Soil nitrate,Standard soil fertility routine analysis: soil pH detected with the 1:1 H2O method,Standard soil fertility routine analysis: soil cation exchange capacity (CEC),Standard soil fertility routine analysis: soil calcium (Ca) by base saturation,Standard soil fertility routine analysis: soil magnesium (Mg) by base saturation,Standard soil fertility routine analysis: soil potassium (K) by base saturation,Standard soil fertility routine analysis: lime test index,Standard soil fertility routine analysis: soil potassium (K) concentration measured by ammonium acetate or Mehlich-3 test,Standard soil fertility routine analysis: soil calcium (Ca) concentration measured by ammonium acetate or Mehlich-3 test,Standard soil fertility routine analysis: soil magnesium (Mg) concentration measured by ammonium acetate or Mehlich-3 test,Percent sand,Percent silt,Percent clay,Water retention at 0.05 bar,Water retention at 0.1 bar,Water retention at 0.33 bar,Water retention at 15 bar
NWREC,1062,20 to 40,1,2014,M,1.33,M,M,7.0,20.02,20.6,1.2,M,M,M,M,M,M,M,50.0,3072.0,427.0,M,M,M,M,M,M,M
NWREC,3031,20 to 40,1,2014,M,1.33,M,M,6.8,20.09,20.8,1.5,M,M,M,M,M,M,M,58.0,3071.0,356.0,M,M,M,M,M,M,M
NWREC,1101,10 to 20,1,2011,M,1.36,0.49,silty clay,7.08,20.24,21.4,1.5,M,7.08,M,M,M,M,M,233.7,3271.8,383.5,2.0,69.0,29.0,0.46,0.46,0.45,0.125
NWREC,3082,10 to 20,1,2011,M,1.45,0.45,silt loam,6.4,20.34,24.5,1.7,M,6.4,M,M,M,M,M,119.8,3357.4,374.3,2.0,72.0,26.0,0.45,0.45,0.45,0.142
NWREC,1022,10 to 20,1,2014,M,1.36,M,M,7.5,20.41,25.8,1.8,M,M,M,M,M,M,M,91.0,3076.0,469.0,M,M,M,M,M,M,M
NWREC,1082,0 to 10,1,2014,M,1.33,M,M,7.4,20.53,25.8,1.9,M,M,M,M,M,M,M,138.0,3018.0,505.0,M,M,M,M,M,M,M
NWREC,3062,40 to 60,1,2014,M,1.26,M,M,6.5,20.54,17.3,1.1,M,M,M,M,M,M,M,48.0,2834.0,434.0,M,M,M,M,M,M,M
NWREC,1091,0 to 10,1,2014,M,1.34,M,M,7.5,20.56,24.4,1.7,M,M,M,M,M,M,M,125.0,2999.0,526.0,M,M,M,M,M,M,M
NWREC,2051,40 to 60,1,2014,M,1.31,M,M,7.0,20.61,13.7,0.8,M,M,M,M,M,M,M,50.0,2968.0,561.0,M,M,M,M,M,M,M
NWREC,2052,40 to 60,1,2014,M,1.19,M,M,7.1,20.62,14.1,0.9,M,M,M,M,M,M,M,57.0,2972.0,558.0,M,M,M,M,M,M,M
NWREC,2102,20 to 40,1,2014,M,1.21,M,M,7.1,20.81,19.7,1.3,M,M,M,M,M,M,M,50.0,3188.0,452.0,M,M,M,M,M,M,M
NWREC,1081,20 to 40,1,2014,M,1.3,M,M,7.3,20.87,18.6,1.2,M,M,M,M,M,M,M,46.0,3176.0,474.0,M,M,M,M,M,M,M
NWREC,4101,0 to 10,1,2014,M,1.39,M,M,6.5,20.91,17.9,1.6,M,M,M,M,M,M,M,296.0,2882.0,368.0,M,M,M,M,M,M,M
NWREC,1091,10 to 20,1,2014,M,1.39,M,M,7.4,20.96,23.7,1.5,M,M,M,M,M,M,M,66.0,3128.0,508.0,M,M,M,M,M,M,M
NWREC,1081,0 to 10,1,2014,M,1.47,M,M,7.7,20.99,24.8,1.7,M,M,M,M,M,M,M,161.0,3079.0,521.0,M,M,M,M,M,M,M
NWREC,3011,10 to 20,1,2014,M,1.57,M,M,6.1,21.07,20.2,1.5,M,M,M,M,M,M,M,64.0,2842.0,320.0,M,M,M,M,M,M,M
NWREC,1062,10 to 20,1,2014,M,1.38,M,M,7.0,21.12,22.7,1.6,M,M,M,M,M,M,M,69.0,3228.0,457.0,M,M,M,M,M,M,M
NWREC,4101,10 to 20,1,2014,M,1.38,M,M,6.8,21.13,15.9,1.2,M,M,M,M,M,M,M,121.0,3196.0,379.0,M,M,M,M,M,M,M
NWREC,4042,40 to 60,1,2014,M,1.33,M,M,6.3,21.14,15.1,1.2,M,M,M,M,M,M,M,57.0,2808.0,426.0,M,M,M,M,M,M,M
NWREC,1092,20 to 40,1,2014,M,1.38,M,M,7.2,21.15,18.5,1.3,M,M,M,M,M,M,M,61.0,3266.0,446.0,M,M,M,M,M,M,M
NWREC,1091,20 to 40,1,2014,M,1.27,M,M,7.1,21.32,19.0,1.2,M,M,M,M,M,M,M,46.0,3271.0,464.0,M,M,M,M,M,M,M
NWREC,2102,40 to 60,1,2014,M,1.26,M,M,7.0,21.32,12.1,0.8,M,M,M,M,M,M,M,53.0,3076.0,573.0,M,M,M,M,M,M,M
NWREC,4082,10 to 20,1,2014,M,1.3,M,M,7.3,21.32,20.4,1.5,M,M,M,M,M,M,M,79.0,3310.0,435.0,M,M,M,M,M,M,M
NWREC,2062,40 to 60,1,2014,M,1.34,M,M,6.8,21.4,12.9,0.8,M,M,M,M,M,M,M,50.0,3094.0,492.0,M,M,M,M,M,M,M
NWREC,4021,40 to 60,1,2014,M,1.3,M,M,6.2,21.4,17.9,1.1,M,M,M,M,M,M,M,53.0,2835.0,398.0,M,M,M,M,M,M,M
NWREC,4062,20 to 40,1,2014,M,1.3,M,M,6.5,21.42,18.5,1.4,M,M,M,M,M,M,M,68.0,3078.0,370.0,M,M,M,M,M,M,M
NWREC,4092,0 to 10,1,2014,M,1.57,M,M,6.8,21.44,18.8,1.5,M,M,M,M,M,M,M,236.0,3128.0,418.0,M,M,M,M,M,M,M
NWREC,3061,20 to 40,1,2014,M,1.28,M,M,6.7,21.52,23.2,1.5,M,M,M,M,M,M,M,47.0,3258.0,364.0,M,M,M,M,M,M,M
NWREC,4081,10 to 20,1,2014,M,1.39,M,M,6.6,21.57,19.8,1.5,M,M,M,M,M,M,M,73.0,3224.0,345.0,M,M,M,M,M,M,M
NWREC,2011,40 to 60,1,2014,M,1.33,M,M,6.7,21.58,10.4,0.8,M,M,M,M,M,M,M,56.0,3084.0,476.0,M,M,M,M,M,M,M
NWREC,2101,20 to 40,1,2014,M,1.19,M,M,7.2,21.59,15.3,1.1,M,M,M,M,M,M,M,52.0,3264.0,497.0,M,M,M,M,M,M,M
NWREC,1081,10 to 20,1,2014,M,1.35,M,M,7.6,21.64,23.1,1.6,M,M,M,M,M,M,M,80.0,3257.0,513.0,M,M,M,M,M,M,M
NWREC,2052,20 to 40,1,2014,M,1.3,M,M,7.0,21.66,20.6,1.3,M,M,M,M,M,M,M,54.0,3278.0,494.0,M,M,M,M,M,M,M
NWREC,2011,0 to 10,1,2011,M,1.42,0.47,silty clay,6.23,21.71,26.6,1.9,M,6.23,M,M,M,M,M,265.5,3459.9,400.9,3.0,70.0,27.0,0.35,0.33,0.3,0.13
NWREC,2092,40 to 60,1,2014,M,1.32,M,M,6.7,21.74,11.7,0.9,M,M,M,M,M,M,M,50.0,3132.0,464.0,M,M,M,M,M,M,M
NWREC,4061,40 to 60,1,2014,M,1.22,M,M,6.9,21.82,13.6,1.0,M,M,M,M,M,M,M,61.0,3284.0,461.0,M,M,M,M,M,M,M
NWREC,1062,0 to 10,1,2014,M,1.21,M,M,7.2,21.87,25.6,1.9,M,M,M,M,M,M,M,160.0,3278.0,490.0,M,M,M,M,M,M,M
NWREC,4101,10 to 20,1,2011,M,1.57,0.41,silty clay,6.86,21.88,15.7,1.4,M,6.86,M,M,M,M,M,294.1,3507.4,407.4,2.0,71.0,27.0,0.41,0.4,0.39,0.12
NWREC,1082,10 to 20,1,2014,M,1.35,M,M,7.5,21.9,24.0,1.5,M,M,M,M,M,M,M,69.0,3329.0,499.0,M,M,M,M,M,M,M
NWREC,2032,40 to 60,1,2014,M,1.35,M,M,6.5,21.98,11.8,0.9,M,M,M,M,M,M,M,52.0,3067.0,447.0,M,M,M,M,M,M,M
NWREC,4091,0 to 10,1,2011,M,1.46,0.45,silt loam,5.42,22.0,17.5,1.5,M,5.42,M,M,M,M,M,313.4,3436.8,463.4,2.0,74.0,24.0,0.44,0.44,0.44,0.112
NWREC,4082,0 to 10,1,2014,M,1.13,M,M,6.9,22.08,22.8,1.7,M,M,M,M,M,M,M,170.0,3362.0,411.0,M,M,M,M,M,M,M
NWREC,1021,10 to 20,1,2014,M,1.43,M,M,7.1,22.1,24.9,1.7,M,M,M,M,M,M,M,93.0,3416.0,452.0,M,M,M,M,M,M,M
NWREC,3051,20 to 40,1,2014,M,1.32,M,M,6.4,22.19,19.9,1.4,M,M,M,M,M,M,M,48.0,3179.0,360.0,M,M,M,M,M,M,M
NWREC,4091,10 to 20,1,2014,M,1.58,M,M,6.5,22.24,17.7,1.4,M,M,M,M,M,M,M,125.0,3218.0,355.0,M,M,M,M,M,M,M
NWREC,3012,0 to 10,1,2014,M,1.22,M,M,6.1,22.28,21.4,1.8,M,M,M,M,M,M,M,209.0,2862.0,378.0,M,M,M,M,M,M,M
NWREC,3012,10 to 20,1,2014,M,1.29,M,M,6.4,22.29,19.6,1.6,M,M,M,M,M,M,M,62.0,3173.0,367.0,M,M,M,M,M,M,M
NWREC,3031,10 to 20,1,2014,M,1.55,M,M,6.6,22.37,22.4,1.7,M,M,M,M,M,M,M,66.0,3343.0,358.0,M,M,M,M,M,M,M
NWREC,3092,40 to 60,1,2014,M,1.38,M,M,6.8,22.38,15.9,1.0,M,M,M,M,M,M,M,46.0,3217.0,530.0,M,M,M,M,M,M,M
NWREC,3052,10 to 20,1,2011,M,1.48,0.44,silt loam,6.27,22.39,25.7,2.0,M,6.27,M,M,M,M,M,139.1,3728.3,381.9,2.0,73.0,25.0,0.43,0.42,0.41,0.094
NWREC,4061,20 to 40,1,2014,M,1.34,M,M,6.4,22.4,20.1,1.5,M,M,M,M,M,M,M,55.0,3209.0,357.0,M,M,M,M,M,M,M
NWREC,2102,10 to 20,1,2014,M,1.34,M,M,7.4,22.44,23.3,1.6,M,M,M,M,M,M,M,63.0,3425.0,500.0,M,M,M,M,M,M,M
NWREC,4021,20 to 40,1,2014,M,1.31,M,M,6.3,22.44,23.3,1.7,M,M,M,M,M,M,M,53.0,3162.0,350.0,M,M,M,M,M,M,M
NWREC,3052,20 to 40,1,2014,M,1.23,M,M,6.4,22.52,21.8,1.5,M,M,M,M,M,M,M,55.0,3207.0,376.0,M,M,M,M,M,M,M
NWREC,4101,0 to 10,1,2011,M,1.46,0.45,silt loam,6.71,22.55,16.2,1.4,M,6.71,M,M,M,M,M,370.5,3618.7,387.7,2.0,74.0,24.0,0.41,0.38,0.36,0.113
NWREC,4052,20 to 40,1,2014,M,1.4,M,M,6.6,22.55,21.1,1.5,M,M,M,M,M,M,M,59.0,3300.0,402.0,M,M,M,M,M,M,M
NWREC,4061,0 to 10,1,2011,M,1.12,0.58,silt loam,4.91,22.65,23.1,1.9,M,4.91,M,M,M,M,M,289.9,3636.1,421.4,3.0,72.0,25.0,0.57,0.56,0.55,0.09
NWREC,2031,40 to 60,1,2014,M,1.28,M,M,6.6,22.72,10.7,0.8,M,M,M,M,M,M,M,52.0,3210.0,482.0,M,M,M,M,M,M,M
NWREC,4022,40 to 60,1,2014,M,1.29,M,M,6.4,22.74,20.3,1.3,M,M,M,M,M,M,M,54.0,3086.0,470.0,M,M,M,M,M,M,M
NWREC,2031,10 to 20,1,2011,M,1.42,0.46,silty clay,6.43,22.75,21.7,1.7,M,6.43,M,M,M,M,M,164.0,3734.8,419.0,3.0,69.0,28.0,0.42,0.41,0.4,0.123
NWREC,3051,10 to 20,1,2011,M,1.34,0.49,silt loam,6.35,22.79,23.1,1.8,M,6.35,M,M,M,M,M,122.0,3813.9,393.0,2.0,72.0,26.0,0.46,0.44,0.43,0.114
NWREC,3011,0 to 10,1,2014,M,1.51,M,M,5.9,22.84,26.6,2.1,M,M,M,M,M,M,M,229.0,2770.0,351.0,M,M,M,M,M,M,M
NWREC,4091,0 to 10,1,2014,M,1.43,M,M,6.0,22.87,22.5,1.8,M,M,M,M,M,M,M,243.0,2831.0,402.0,M,M,M,M,M,M,M
NWREC,3032,20 to 40,1,2014,M,1.22,M,M,6.6,22.89,22.5,1.6,M,M,M,M,M,M,M,56.0,3419.0,371.0,M,M,M,M,M,M,M
NWREC,2061,40 to 60,1,2014,M,1.29,M,M,6.7,22.98,13.4,0.9,M,M,M,M,M,M,M,57.0,3276.0,512.0,M,M,M,M,M,M,M
NWREC,3082,40 to 60,1,2014,M,1.31,M,M,6.6,23.05,16.5,1.1,M,M,M,M,M,M,M,50.0,3191.0,528.0,M,M,M,M,M,M,M
NWREC,2101,0 to 10,1,2014,M,1.28,M,M,7.2,23.09,22.6,1.5,M,M,M,M,M,M,M,127.0,3456.0,532.0,M,M,M,M,M,M,M
NWREC,1022,20 to 40,1,2014,M,1.21,M,M,7.0,23.34,23.3,1.4,M,M,M,M,M,M,M,61.0,3587.0,495.0,M,M,M,M,M,M,M
NWREC,2012,40 to 60,1,2014,M,1.35,M,M,7.0,23.51,15.4,1.0,M,M,M,M,M,M,M,63.0,3447.0,601.0,M,M,M,M,M,M,M
NWREC,1011,20 to 40,1,2014,M,1.23,M,M,6.5,23.55,21.9,1.5,M,M,M,M,M,M,M,49.0,3435.0,389.0,M,M,M,M,M,M,M
NWREC,3102,40 to 60,1,2014,M,1.36,M,M,6.8,23.69,12.8,0.8,M,M,M,M,M,M,M,50.0,3375.0,577.0,M,M,M,M,M,M,M
NWREC,3101,40 to 60,1,2014,M,1.38,M,M,6.6,23.87,17.0,1.1,M,M,M,M,M,M,M,44.0,3352.0,520.0,M,M,M,M,M,M,M
NWREC,4092,0 to 10,1,2011,M,1.37,0.48,silt loam,5.7,23.93,16.7,1.5,M,5.7,M,M,M,M,M,347.9,3755.2,491.2,2.0,73.0,25.0,0.44,0.42,0.41,0.109
NWREC,2091,20 to 40,1,2014,M,1.3,M,M,6.9,23.93,18.8,1.2,M,M,M,M,M,M,M,55.0,3661.0,474.0,M,M,M,M,M,M,M
NWREC,3092,20 to 40,1,2014,M,1.38,M,M,6.8,23.96,21.6,1.4,M,M,M,M,M,M,M,47.0,3625.0,459.0,M,M,M,M,M,M,M
NWREC,1011,40 to 60,1,2014,M,1.2,M,M,6.5,24.03,15.0,1.0,M,M,M,M,M,M,M,57.0,3358.0,483.0,M,M,M,M,M,M,M
NWREC,2101,10 to 20,1,2014,M,1.17,M,M,7.3,24.1,21.8,1.4,M,M,M,M,M,M,M,75.0,3684.0,529.0,M,M,M,M,M,M,M
NWREC,2071,40 to 60,1,2014,M,1.35,M,M,6.5,24.11,12.5,0.8,M,M,M,M,M,M,M,63.0,3255.0,543.0,M,M,M,M,M,M,M
NWREC,3081,0 to 10,1,2011,M,1.28,0.52,silt loam,6.14,24.21,28.8,2.2,M,6.14,M,M,M,M,M,188.2,3880.8,484.3,2.0,74.0,24.0,0.49,0.48,0.46,0.115
NWREC,2092,10 to 20,1,2011,M,1.43,0.46,silty clay,6.4,24.6,21.4,1.6,M,6.4,M,M,M,M,M,147.9,4045.4,459.4,2.0,70.0,28.0,0.37,0.35,0.33,0.128
NWREC,3032,10 to 20,1,2014,M,1.35,M,M,5.9,24.68,23.6,1.8,M,M,M,M,M,M,M,73.0,3126.0,355.0,M,M,M,M,M,M,M
NWREC,1072,10 to 20,1,2014,M,1.53,M,M,7.2,24.69,22.5,1.5,M,M,M,M,M,M,M,75.0,3807.0,523.0,M,M,M,M,M,M,M
NWREC,4062,10 to 20,1,2014,M,1.44,M,M,6.3,24.82,21.9,1.6,M,M,M,M,M,M,M,135.0,3427.0,405.0,M,M,M,M,M,M,M
NWREC,3081,10 to 20,1,2014,M,1.24,M,M,6.3,24.86,24.2,1.7,M,M,M,M,M,M,M,69.0,3473.0,403.0,M,M,M,M,M,M,M
NWREC,2072,20 to 40,1,2014,M,1.29,M,M,6.3,25.06,18.9,1.2,M,M,M,M,M,M,M,55.0,3414.0,462.0,M,M,M,M,M,M,M
NWREC,2071,20 to 40,1,2014,M,1.29,M,M,6.4,25.09,21.3,1.4,M,M,M,M,M,M,M,54.0,3510.0,457.0,M,M,M,M,M,M,M
NWREC,3091,40 to 60,1,2014,M,1.26,M,M,6.6,25.13,16.1,1.1,M,M,M,M,M,M,M,56.0,3496.0,566.0,M,M,M,M,M,M,M
NWREC,2102,0 to 10,1,2014,M,1.29,M,M,7.1,25.17,30.9,2.2,M,M,M,M,M,M,M,142.0,3764.0,578.0,M,M,M,M,M,M,M
NWREC,4022,20 to 40,1,2014,M,1.19,M,M,6.5,25.18,25.5,1.7,M,M,M,M,M,M,M,60.0,3631.0,438.0,M,M,M,M,M,M,M
NWREC,3082,10 to 20,1,2014,M,1.43,M,M,6.8,25.19,25.8,1.6,M,M,M,M,M,M,M,72.0,3859.0,448.0,M,M,M,M,M,M,M
NWREC,1022,0 to 10,1,2014,M,1.5,M,M,7.2,25.22,28.8,2.0,M,M,M,M,M,M,M,241.0,3767.0,554.0,M,M,M,M,M,M,M
NWREC,1021,20 to 40,1,2014,M,1.25,M,M,6.9,25.42,22.8,1.5,M,M,M,M,M,M,M,62.0,3986.0,446.0,M,M,M,M,M,M,M
NWREC,1102,20 to 40,1,2014,M,1.29,M,M,6.9,25.42,20.4,1.3,M,M,M,M,M,M,M,85.0,3948.0,465.0,M,M,M,M,M,M,M
NWREC,4041,20 to 40,1,2014,M,1.26,M,M,6.5,25.42,24.4,1.5,M,M,M,M,M,M,M,58.0,3648.0,456.0,M,M,M,M,M,M,M
NWREC,1012,10 to 20,1,2014,M,1.28,M,M,7.2,25.52,25.6,1.7,M,M,M,M,M,M,M,100.0,3921.0,539.0,M,M,M,M,M,M,M
NWREC,1101,20 to 40,1,2014,M,1.31,M,M,6.7,25.62,17.8,1.2,M,M,M,M,M,M,M,74.0,3800.0,479.0,M,M,M,M,M,M,M
NWREC,3032,0 to 10,1,2011,M,1.16,0.56,silt loam,5.84,25.64,26.1,2.1,M,5.84,M,M,M,M,M,349.9,4034.4,504.2,3.0,73.0,24.0,0.53,0.49,0.48,0.097
NWREC,4041,10 to 20,1,2011,M,1.47,0.45,silty clay,6.14,25.65,27.6,2.1,M,6.14,M,M,M,M,M,158.8,4235.8,468.2,2.0,69.0,29.0,0.43,0.42,0.41,0.134
NWREC,1071,10 to 20,1,2014,M,1.35,M,M,7.0,25.66,23.7,1.5,M,M,M,M,M,M,M,78.0,3946.0,544.0,M,M,M,M,M,M,M
NWREC,3062,20 to 40,1,2014,M,1.23,M,M,6.4,25.66,23.6,1.5,M,M,M,M,M,M,M,52.0,3692.0,407.0,M,M,M,M,M,M,M
NWREC,2061,20 to 40,1,2014,M,1.29,M,M,6.7,25.75,21.7,1.3,M,M,M,M,M,M,M,60.0,3820.0,488.0,M,M,M,M,M,M,M
NWREC,3052,10 to 20,1,2014,M,1.53,M,M,5.9,25.9,23.8,1.7,M,M,M,M,M,M,M,70.0,3322.0,352.0,M,M,M,M,M,M,M
NWREC,1021,0 to 10,1,2014,M,1.42,M,M,6.9,25.92,30.8,2.3,M,M,M,M,M,M,M,218.0,3936.0,487.0,M,M,M,M,M,M,M
NWREC,1072,0 to 10,1,2014,M,1.25,M,M,6.9,25.96,27.5,2.1,M,M,M,M,M,M,M,206.0,3933.0,498.0,M,M,M,M,M,M,M
NWREC,4051,20 to 40,1,2014,M,1.24,M,M,6.4,26.06,22.1,1.6,M,M,M,M,M,M,M,79.0,3684.0,441.0,M,M,M,M,M,M,M
NWREC,2092,20 to 40,1,2014,M,1.33,M,M,6.7,26.13,18.9,1.1,M,M,M,M,M,M,M,54.0,3899.0,481.0,M,M,M,M,M,M,M
NWREC,4081,0 to 10,1,2014,M,1.37,M,M,5.5,26.19,23.2,1.8,M,M,M,M,M,M,M,224.0,2676.0,315.0,M,M,M,M,M,M,M
NWREC,1072,10 to 20,1,2011,M,1.46,0.45,silt loam,6.76,26.23,20.7,1.5,M,6.76,M,M,M,M,M,169.7,4260.0,525.6,2.0,75.0,23.0,0.41,0.4,0.38,0.139
NWREC,3061,10 to 20,1,2014,M,1.41,M,M,6.1,26.23,27.8,1.9,M,M,M,M,M,M,M,64.0,3564.0,390.0,M,M,M,M,M,M,M
NWREC,3101,20 to 40,1,2014,M,1.31,M,M,6.5,26.38,24.3,1.6,M,M,M,M,M,M,M,47.0,3829.0,451.0,M,M,M,M,M,M,M
NWREC,3062,0 to 10,1,2014,M,1.38,M,M,5.7,26.4,33.1,2.4,M,M,M,M,M,M,M,213.0,2966.0,362.0,M,M,M,M,M,M,M
NWREC,1011,10 to 20,1,2014,M,1.33,M,M,6.5,26.5,24.2,1.7,M,M,M,M,M,M,M,101.0,3848.0,435.0,M,M,M,M,M,M,M
NWREC,3082,20 to 40,1,2014,M,1.19,M,M,6.7,26.57,21.7,1.4,M,M,M,M,M,M,M,50.0,3942.0,505.0,M,M,M,M,M,M,M
NWREC,2091,0 to 10,1,2014,M,1.32,M,M,6.7,26.6,24.0,1.7,M,M,M,M,M,M,M,133.0,3876.0,522.0,M,M,M,M,M,M,M
NWREC,3102,20 to 40,1,2014,M,1.24,M,M,6.7,26.6,21.6,1.4,M,M,M,M,M,M,M,47.0,3949.0,505.0,M,M,M,M,M,M,M
NWREC,3052,0 to 10,1,2011,M,1.43,0.46,silt loam,5.59,26.66,29.5,2.3,M,5.59,M,M,M,M,M,256.8,4334.4,476.2,4.0,70.0,26.0,0.43,0.41,0.4,0.109
NWREC,4022,10 to 20,1,2014,M,1.43,M,M,6.2,26.69,27.0,1.8,M,M,M,M,M,M,M,97.0,3656.0,416.0,M,M,M,M,M,M,M
NWREC,1061,10 to 20,1,2014,M,1.01,M,M,6.9,26.71,23.1,1.5,M,M,M,M,M,M,M,74.0,4154.0,490.0,M,M,M,M,M,M,M
NWREC,3032,0 to 10,1,2014,M,1.36,M,M,5.8,26.74,25.6,2.0,M,M,M,M,M,M,M,203.0,3079.0,429.0,M,M,M,M,M,M,M
NWREC,3081,40 to 60,1,2014,M,1.37,M,M,6.3,26.82,17.4,1.0,M,M,M,M,M,M,M,57.0,3580.0,543.0,M,M,M,M,M,M,M
NWREC,1102,10 to 20,1,2011,M,1.41,0.47,silty clay,7.1,26.95,21.7,1.6,M,7.1,M,M,M,M,M,211.9,4428.3,495.8,2.0,67.0,31.0,0.44,0.43,0.42,0.124
NWREC,1071,0 to 10,1,2014,M,1.24,M,M,6.2,26.95,26.8,2.0,M,M,M,M,M,M,M,164.0,3609.0,451.0,M,M,M,M,M,M,M
NWREC,2062,10 to 20,1,2014,M,1.43,M,M,6.6,26.98,32.3,1.7,M,M,M,M,M,M,M,84.0,3956.0,480.0,M,M,M,M,M,M,M
NWREC,3082,0 to 10,1,2014,M,1.29,M,M,6.8,27.07,24.6,1.7,M,M,M,M,M,M,M,205.0,3980.0,543.0,M,M,M,M,M,M,M
NWREC,3031,0 to 10,1,2014,M,1.51,M,M,5.6,27.08,27.0,2.1,M,M,M,M,M,M,M,205.0,2908.0,350.0,M,M,M,M,M,M,M
NWREC,2052,10 to 20,1,2014,M,1.43,M,M,7.2,27.09,26.8,1.8,M,M,M,M,M,M,M,75.0,4164.0,585.0,M,M,M,M,M,M,M
NWREC,2092,0 to 10,1,2014,M,1.33,M,M,6.1,27.33,30.6,2.3,M,M,M,M,M,M,M,205.0,3525.0,479.0,M,M,M,M,M,M,M
NWREC,1102,0 to 10,1,2011,M,1.43,0.46,silty clay,6.26,27.36,28.0,2.2,M,6.26,M,M,M,M,M,391.1,4367.6,519.2,3.0,70.0,27.0,0.42,0.41,0.38,0.121
NWREC,2011,20 to 40,1,2014,M,1.28,M,M,6.4,27.38,24.2,1.6,M,M,M,M,M,M,M,70.0,3877.0,471.0,M,M,M,M,M,M,M
NWREC,2051,20 to 40,1,2014,M,1.3,M,M,6.7,27.48,21.7,1.4,M,M,M,M,M,M,M,56.0,4064.0,530.0,M,M,M,M,M,M,M
NWREC,2091,10 to 20,1,2014,M,1.23,M,M,6.8,27.48,23.4,1.6,M,M,M,M,M,M,M,74.0,4180.0,505.0,M,M,M,M,M,M,M
NWREC,2012,20 to 40,1,2014,M,1.33,M,M,6.6,27.51,24.4,1.7,M,M,M,M,M,M,M,60.0,4049.0,490.0,M,M,M,M,M,M,M
NWREC,1101,10 to 20,1,2014,M,1.4,M,M,5.6,27.55,23.0,1.9,M,M,M,M,M,M,M,125.0,3012.0,357.0,M,M,M,M,M,M,M
NWREC,3062,10 to 20,1,2014,M,1.39,M,M,6.4,27.65,25.0,1.7,M,M,M,M,M,M,M,85.0,4003.0,414.0,M,M,M,M,M,M,M
NWREC,4041,0 to 10,1,2011,M,1.28,0.52,silt loam,5.72,27.68,28.1,2.1,M,5.72,M,M,M,M,M,360.2,4498.1,487.6,2.0,73.0,25.0,0.5,0.49,0.47,0.124
NWREC,2051,0 to 10,1,2014,M,1.22,M,M,6.5,27.69,34.3,2.3,M,M,M,M,M,M,M,196.0,3912.0,494.0,M,M,M,M,M,M,M
NWREC,2062,20 to 40,1,2014,M,1.27,M,M,6.8,27.77,19.2,1.2,M,M,M,M,M,M,M,57.0,4190.0,539.0,M,M,M,M,M,M,M
NWREC,4042,20 to 40,1,2014,M,1.31,M,M,6.1,27.83,20.8,1.6,M,M,M,M,M,M,M,71.0,3750.0,433.0,M,M,M,M,M,M,M
NWREC,1061,0 to 10,1,2014,M,0.78,M,M,6.3,27.86,30.4,2.1,M,M,M,M,M,M,M,181.0,3797.0,481.0,M,M,M,M,M,M,M
NWREC,3051,0 to 10,1,2011,M,1.24,0.53,silt loam,5.78,27.99,27.4,2.1,M,5.78,M,M,M,M,M,223.7,4592.1,492.9,3.0,75.0,22.0,0.48,0.44,0.41,0.102
NWREC,3092,0 to 10,1,2011,M,1.23,0.53,silt loam,5.52,28.04,27.0,2.0,M,5.52,M,M,M,M,M,231.1,4521.3,538.0,2.0,74.0,24.0,0.53,0.52,0.52,0.114
NWREC,4021,10 to 20,1,2014,M,1.22,M,M,5.9,28.05,27.5,1.8,M,M,M,M,M,M,M,97.0,3586.0,381.0,M,M,M,M,M,M,M
NWREC,4042,0 to 10,1,2011,M,1.37,0.48,silt loam,4.98,28.18,28.5,2.3,M,4.98,M,M,M,M,M,347.7,4642.6,469.6,2.0,76.0,22.0,0.46,0.43,0.41,0.131
NWREC,3061,0 to 10,1,2014,M,1.34,M,M,5.6,28.41,27.5,2.1,M,M,M,M,M,M,M,192.0,3054.0,376.0,M,M,M,M,M,M,M
NWREC,3081,20 to 40,1,2014,M,1.3,M,M,6.5,28.79,23.2,1.5,M,M,M,M,M,M,M,58.0,4181.0,490.0,M,M,M,M,M,M,M
NWREC,2031,20 to 40,1,2014,M,1.36,M,M,5.9,28.91,20.1,1.4,M,M,M,M,M,M,M,58.0,3644.0,439.0,M,M,M,M,M,M,M
NWREC,2102,10 to 20,1,2011,M,1.44,0.46,silty clay,6.74,28.94,22.4,1.6,M,6.74,M,M,M,M,M,152.2,4759.4,552.8,2.0,70.0,28.0,0.41,0.41,0.39,0.143
NWREC,1011,0 to 10,1,2014,M,1.25,M,M,6.0,28.99,26.4,2.0,M,M,M,M,M,M,M,279.0,3597.0,516.0,M,M,M,M,M,M,M
NWREC,3081,0 to 10,1,2014,M,1.24,M,M,6.5,29.1,30.3,2.1,M,M,M,M,M,M,M,248.0,3978.0,585.0,M,M,M,M,M,M,M
NWREC,3101,10 to 20,1,2014,M,1.43,M,M,6.3,29.14,23.9,1.6,M,M,M,M,M,M,M,65.0,4104.0,458.0,M,M,M,M,M,M,M
NWREC,3082,0 to 10,1,2011,M,1.33,0.5,silt loam,6.45,29.27,26.1,1.9,M,6.45,M,M,M,M,M,203.0,4725.6,582.2,2.0,74.0,24.0,0.5,0.5,0.49,0.125
