CheckpointID,SimulationID,Experiment,Nitrogen,Residue,Zone,Clock.Today,Plotid,year,FOM.c,TON,soc,Total_surfaceCArbon,surface_organic_matter,Soil_Respiration,Deeplayer_soil_Carbon,Toplayer_soil_Carbon,n20,N20D20cm,SOC_0_15CM,SOC_1_2,soccx,SOCD40CM,RespD20cm,RespD40cm,DUL(1),DUL(2),DUL(3),DUL(4),DUL(5),DUL(6),DUL(7),DUL(8),DUL(9),DUL(10),PAW(1),PAW(2),PAW(3),PAW(4),PAW(5),PAW(6),PAW(7),PAW(8),PAW(9),PAW(10),Top_respiration,whole_respiration,RootBiomass,deepC,deepC8,deepC9,deepC10,lai,carbo,tmp1,tmp2,tmp,top_carbon_mineralization,layer2_mineralization,top_mineralized_N,SOC1,org_c,microbial_carbon,FOM_C_kg,rain,SurfaceOrganicMatter_Carbon,SurfaceOrganicMatter_Nitrogen,source_table
1,12,Experiment,180,0.1,Field,1905-01-01 00:00:00,yield,1905,309.21439989882015,0.0,233.7391348676741,198.69883066120983,496.7470766530245,6.143187476176939e-08,83.14907679999999,109.27357326773553,4.972686514535549e-19,4.972686514535549e-19,52.26052046773552,40.249124,92.50964446773551,0.0,0.0,0.0,0.38858297972173195,0.389,0.349,0.426,0.38800000000000007,0.38800000000000007,0.364951952042858,0.25273149676227386,0.11631222369854483,0.1160043274963233,0.23958297972173195,0.24000000000000002,0.19999999999999998,0.25,0.16700000000000007,0.16700000000000007,0.17195195204285801,0.10073149676227386,0.00031222369854481957,4.327496323300317e-06,0.0,0.0,0.0,14470.0728,11595.671600000001,7733.196,7730.513599938568,0.0,52.26052046773552,-8.052827934730265,-12.064836004460728,-20.117663939190994,0.0,0.0,0.0,52.26052046773552,52.26052046773552,0.7948162470489212,60.0,0.0,198.69883066120983,1.9869883066120981,carbon
1,12,Experiment,180,0.1,Field,1906-01-01 00:00:00,yield,1906,438.1554682239927,0.0,233.52605495705737,1039.4982091977179,2598.7455229942934,0.29312259163466853,83.19714786632522,108.91064681413893,0.003933384219366397,0.003932581732606904,52.28101242673831,39.88383185108206,92.16484427782036,0.0,0.012260150442141772,0.012260150442141772,0.40594952412697777,0.408825477549375,0.36954834326937935,0.3184925003621424,0.2428355598697582,0.24493708261492864,0.2307230357658455,0.20966944951418245,0.20336302081425908,0.21374983120874866,0.2569495241269778,0.259825477549375,0.22054834326937936,0.1424925003621424,0.021835559869758187,0.023937082614928634,0.037723035765845486,0.05766944951418246,0.08736302081425908,0.09774983120874865,0.012260150442141772,0.2794170757028106,0.0,14499.832596829265,11614.959981448961,7742.839469638708,7727.2869425214885,0.7658365648546986,52.28101242673831,1.2818931986976996,2.6568280523906336,3.9387212510883334,0.48600291916234395,3.61707052511015e-05,37.79536941425892,52.28101242673831,52.28101242673831,0.8605824084970164,142.39215069031388,0.0,1039.4982091977179,17.341914223570075,carbon
1,12,Experiment,180,0.1,Field,1907-01-01 00:00:00,yield,1907,596.3447790738052,0.0,233.8328105330473,1262.5370503141262,3156.342625785314,0.7853229937979812,83.31149688950273,108.99549554764369,0.012567071538149205,0.012562285481182194,52.573874081882344,39.67182488090879,92.24569896279112,0.0,0.09783636997427983,0.09783636997427983,0.41403378595822876,0.419763700910812,0.38484711530325727,0.434,0.4015200889961042,0.39683052781674527,0.31288445982410507,0.21361547656284127,0.20524670806277281,0.21537337240896978,0.2650337859582288,0.27076370091081203,0.23584711530325728,0.258,0.1805200889961042,0.17583052781674527,0.11988445982410506,0.061615476562841276,0.08924670806277281,0.09937337240896978,0.09783636997427983,0.7726378656792766,0.0,14536.514819550628,11641.121574957057,7756.677691943029,7727.992991915215,0.7028500562017629,52.573874081882344,3.579110123179798,3.769662570785216,7.348772693965014,0.6469484886253342,5.544457042236727e-05,43.555059370296476,52.573874081882344,52.573874081882344,1.1835191480365586,173.09547274705514,0.0,1262.5370503141262,13.536910408827756,carbon
1,12,Experiment,180,0.1,Field,1908-01-01 00:00:00,yield,1908,739.604813125697,0.0,234.0948929653716,1498.1325954806632,3745.3314887016563,0.4234344683916566,83.33547356114295,109.19290633912836,0.0020463185287648137,0.0020374207730981,52.907707689489385,39.54042857453076,92.44813626402015,0.0,0.031087539059042733,0.031087539059042733,0.3990290689011649,0.41647642866202444,0.40154960320299277,0.3988029046846552,0.24674838518549097,0.24645737355591812,0.2330047861462205,0.21627691340731617,0.22063004042353834,0.23431134351167285,0.25002906890116494,0.2674764286620245,0.2525496032029928,0.2228029046846552,0.02574838518549097,0.025457373555918122,0.040004786146220495,0.06427691340731617,0.10463004042353834,0.11831134351167284,0.031087539059042733,0.41849859772624587,0.0,14554.100905226154,11648.635690467661,7753.35170945869,7725.363088386076,0.8768819462581077,52.907707689489385,1.5989341665177024,3.2650352131924025,4.863969379710105,0.6231982269316967,4.319081337048135e-05,52.12188250679836,52.907707689489385,52.907707689489385,1.4226126887521366,291.61330338808773,0.0,1498.1325954806632,22.209407223307803,carbon
1,12,Experiment,180,0.1,Field,1909-01-01 00:00:00,yield,1909,811.8659333299065,0.0,234.4689429909968,1317.7000807146462,3294.250201786615,0.40921259261386334,83.42709953880961,109.40527367489382,9.370669666363591e-06,1.500645722617421e-06,53.15785327454606,39.49223818021541,92.65009145476148,0.0,0.0289654151894299,0.0289654151894299,0.39698159198396854,0.31036165989783804,0.20761906977240263,0.19715798437234333,0.23396711262681838,0.24379066749922113,0.23096197316178835,0.2118020280709438,0.20966294076725306,0.2220921816812859,0.24798159198396855,0.16136165989783804,0.05861906977240264,0.02115798437234334,0.012967112626818378,0.022790667499221123,0.03796197316178834,0.05980202807094381,0.09366294076725305,0.10609218168128588,0.0289654151894299,0.39839826687181945,0.0,14578.91748547945,11667.45030632297,7764.1777005385675,7727.322828042324,0.7072813008388541,53.15785327454606,-1.4259843352109711,2.5972228984510286,1.1712385632400575,0.7265972651881606,3.29890968728645e-05,52.92603969788216,53.15785327454606,53.15785327454606,1.6913515042240712,254.60878566834725,0.0,1317.7000807146462,13.811947381241476,carbon
1,12,Experiment,180,0.1,Field,1910-01-01 00:00:00,yield,1910,649.2658049247257,0.0,234.5696080546515,1150.9615017654787,2877.4037544136954,0.4563412914774532,83.3648995548257,109.55248200713781,0.007854448042549186,0.00784066122781899,53.43404940726613,39.38301121431578,92.8170606215819,0.0,0.002488601535588194,0.002488601535588194,0.39725011223391116,0.40087904933893764,0.37979136833061716,0.434,0.408,0.40095071371794205,0.2839158967148091,0.2198511918395313,0.2113643938298032,0.22167303751684744,0.24825011223391116,0.2518790493389377,0.23079136833061717,0.258,0.18699999999999997,0.17995071371794205,0.0909158967148091,0.06785119183953131,0.0953643938298032,0.10567303751684744,0.002488601535588194,0.44783166268681396,0.0,14580.685747225769,11673.135980926972,7769.386381983818,7726.271910874289,0.8411975290389556,53.43404940726613,-4.718617791831639,-3.733501671659461,-8.452119463491101,0.7951645012234012,3.527334117049692e-06,63.7097602065182,53.43404940726613,53.43404940726613,1.927550660793468,260.3624998126882,0.0,1150.9615017654787,15.13665133087127,carbon
1,12,Experiment,180,0.1,Field,1911-01-01 00:00:00,yield,1911,634.7829516794784,0.0,234.47682895204522,998.5101439651828,2496.2753599129574,0.24072337373088634,83.4042596923856,109.37716731024629,0.0011733460452229886,0.001163277204998321,53.344795365698836,39.3068990758619,92.65169444156074,0.0,0.020304508764275676,0.020304508764275676,0.4134102791321164,0.39606076875320334,0.3423241007199818,0.22809717135881222,0.23448614387664612,0.24201192364764829,0.22896646824436026,0.21203588031902412,0.21614297327580595,0.23051522065704486,0.26441027913211645,0.24706076875320335,0.19332410071998182,0.05209717135881223,0.013486143876646123,0.021011923647648284,0.035966468244360256,0.060035880319024126,0.10014297327580594,0.11451522065704485,0.020304508764275676,0.23662345694413048,0.0,14595.526329754866,11679.572659588299,7767.557827195093,7724.194035743776,0.7037356262014441,53.344795365698836,1.3082360346321291,1.0116979456283508,2.3199339802604797,1.0445763607479923,2.718216055602951e-06,89.00536145134225,53.344795365698836,53.344795365698836,1.9031367062788573,178.03350809322885,1.2699999809265137,998.5101439651828,11.298577237675323,carbon
1,12,Experiment,180,0.1,Field,1912-01-01 00:00:00,yield,1912,472.27717670970037,0.0,234.5907875166708,422.3547348454403,1055.8868371136002,0.6100838677075454,83.34667510585123,109.57448384941515,0.017554148718409466,0.015170259436505788,53.60716776484919,39.2567952541772,92.86396301902639,0.0,0.0003356329640387666,0.0003356329640387666,0.4055609792960193,0.40365334086544574,0.373986789201065,0.434,0.40061305039209627,0.4000220777685433,0.37699480526562185,0.3164597860266165,0.2602812618987827,0.22964091212647528,0.2565609792960193,0.2546533408654458,0.224986789201065,0.258,0.17961305039209627,0.17902207776854331,0.18399480526562184,0.1644597860266165,0.1442812618987827,0.11364091212647527,0.0003356329640387666,0.6057169078968361,0.0,14589.584009495682,11675.159510032016,7760.123708520995,7722.579687261896,0.48973313568955307,53.60716776484919,-1.586732790722842,2.268461067579167,0.6817282768563251,0.740114034042565,1.0992006070045619e-05,62.70821988675702,53.60716776484919,53.60716776484919,2.143461784843203,152.25241724163587,0.0,422.3547348454403,4.557558440871492,carbon
1,12,Experiment,180,0.1,Field,1913-01-01 00:00:00,yield,1913,726.220964152931,0.0,234.6175614692819,870.9480698067493,2177.370174516873,0.40186534035269933,83.42720290270562,109.45191068001319,1.2704526328960991e-05,2.470997467362247e-06,53.49207404229193,39.24573779234048,92.73781183463241,0.0,0.041059697872155757,0.041059697872155757,0.3128049740449387,0.33711753666436534,0.32288517824548885,0.2359105585235989,0.23210130802082232,0.23957229534697064,0.2249264956778709,0.20277357780255076,0.19703957133687441,0.2109373331118007,0.16380497404493868,0.18811753666436534,0.17388517824548885,0.05991055852359892,0.01110130802082232,0.018572295346970635,0.0319264956778709,0.05077357780255076,0.08103957133687441,0.0949373331118007,0.041059697872155757,0.39383317609128266,0.0,14611.586405769365,11689.511252921373,7769.8401576351325,7724.154096946059,0.800906846771034,53.49207404229193,1.7107348206654516,2.996335945919036,4.707070766584488,0.8535384881317323,2.752265543360015e-05,82.6498042667881,53.49207404229193,53.49207404229193,1.9480705089484227,231.66334083609175,0.0,870.9480698067493,15.042114152706736,carbon
1,12,Experiment,180,0.1,Field,1914-01-01 00:00:00,yield,1914,481.35371764202824,0.0,234.56124142066642,277.30046885663495,693.2511721415877,0.7596092563889311,83.3537934576866,109.50622501423209,0.0005193027741055505,0.00049318938755372,53.6084591630171,39.204630080496855,92.81308924351396,0.0,0.011452665332770276,0.011452665332770276,0.3969916383459041,0.39029568135956405,0.3528408300716381,0.4146200577837786,0.36824415776427294,0.2606477665992753,0.24075498757519387,0.22959594718543752,0.23367242394786122,0.24088155674107323,0.24799163834590413,0.24129568135956406,0.20384083007163808,0.2386200577837786,0.14724415776427294,0.0396477665992753,0.047754987575193864,0.07759594718543752,0.11767242394786122,0.12488155674107322,0.011452665332770276,0.7549347870752868,0.0,14600.2635859158,11673.483594498197,7759.645053005402,7722.145158566961,0.5082963184128246,53.6084591630171,0.8731106598782623,3.4529759670530495,4.326086626931312,0.8140486593406875,2.804527179217347e-05,67.15894926287994,53.6084591630171,53.6084591630171,2.1198322724579666,139.89056977446216,0.0,277.30046885663495,3.4439429988218793,carbon
